"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22","WV03"
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-02",,,,"0.00","0.0","0.0",,"40","28",,,,,,"    1",,,,,,,,,,,,,,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-03",,,,"0.06","0.0","0.0",,"53","29",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-04",,,,"1.41","0.0","0.0",,"54","44",,,,,,"    1",,,,,,,"    1",,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-05",,,,"1.07","0.0","0.0",,"47","36",,,,,,"    1",,,,,,,,,,,,"    1",,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-06",,,,"0.10","0.0","0.0",,"44","33",,,,,,"    1",,,,,,,,,,,,"    1",,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-07",,,,"0.45","0.0","0.0",,"46","38",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-08",,,,"0.12","0.0","0.0",,"45","32",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-09",,,,"0.00","0.0","0.0",,"41","28",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-10",,,,"0.00","0.0","0.0",,"43","30",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-11",,,,"0.08","0.7","0.0",,"37","28",,,,,,"    1",,,,,,,,,,,,"    1",,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-12",,,,"0.57","0.0","0.0",,"46","34",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-13",,,,"0.13","0.0","0.0",,"46","39",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-14",,,,"0.02","0.0","0.0",,"44","38",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-15",,,,"0.45","0.0","0.0",,"44","40",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-16",,,,"1.51","0.0","0.0",,"49","42",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-17",,,,"0.08","0.0","0.0",,"52","47",,,,,,"    1",,,,,,,"    1",,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-18",,,,"0.00","0.0","0.0",,"53","39",,,,,,"    1","    1",,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-19",,,,"0.40","0.0","0.0",,"53","41",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-20",,,,"0.00","0.0","0.0",,"46","31",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-21",,,,"0.47","0.0","0.0",,"39","32",,,,,,"    1",,,,,,,,,,,,"    1",,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-22",,,,"0.10","0.0","0.0",,"45","31",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-23",,,,"0.00","0.0","0.0",,"45","38",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-24",,,,"0.00","0.0","0.0",,"45","36",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-25",,,,"0.02","0.0","0.0",,"56","37",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-26",,,,"0.37","0.0","0.0",,"51","41",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-27",,,,"0.18","0.0","0.0",,"51","36",,,,,,"    1",,,"    1","    1",,,,,,,,"    1",,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-02-28",,,,"0.00","0.0","0.0",,"45","32",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-01",,,,"0.00","0.0","0.0",,"49","30",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-02",,,,"0.00","0.0","0.0",,"55","29",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-03",,,,"0.00","0.0","0.0",,"62","28",,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-04",,,,"0.00","0.0","0.0",,"60","27",,,,,,"    1","    1",,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-05",,,,"0.00","0.0","0.0",,"64","28",,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-06",,,,"0.00","0.0","0.0",,"58","28",,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-07",,,,"0.00","0.0","0.0",,"61","29",,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-08",,,,"0.00","0.0","0.0",,"57","29",,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-09",,,,"0.00","0.0","0.0",,"59","34",,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-10",,,,"0.00","0.0","0.0",,"64","34",,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-11",,,,"0.00","0.0","0.0",,"69","33",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-12",,,,"0.00","0.0","0.0",,"64","38",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-13",,,,"0.00","0.0","0.0",,"58","31",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-14",,,,"0.00","0.0","0.0",,"56","29",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-15",,,,"0.00","0.0","0.0",,"50","41",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-16",,,,"0.00","0.0","0.0",,"46","34",,,,,,,,,,,,,,,,,,,,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-03-17",,,,"0.00","0.0","0.0",,"42","30",,,,,,,,,,,,,,,,,,,,,,,
